project,year,fellow,region,match,corrected
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Colombia,yes,Colombia
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",USA,yes,USA
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",UK,yes,UK
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Netherlands,yes,Netherlands
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Denmark,yes,Denmark
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Germany,yes,Germany
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Austria,yes,Austria
"
              The 40th Anniversary Churchill Fellowship (WA) to compare multi-agency services provided to children and families where the child requires a forensic interview, medical examination, legal services, counselling and family support services - USA, Canada, U.
",2006,"HALL, Natalie",USA,yes,USA
"
              The 40th Anniversary Churchill Fellowship (WA) to compare multi-agency services provided to children and families where the child requires a forensic interview, medical examination, legal services, counselling and family support services - USA, Canada, U.
",2006,"HALL, Natalie",Canada,yes,Canada
"
              To assess training programs for professional musicians within the context of major performing arts organisations - U.K., USA, Germany
",2006,"HEARD, Bernadette",UK,yes,UK
"
              To assess training programs for professional musicians within the context of major performing arts organisations - U.K., USA, Germany
",2006,"HEARD, Bernadette",USA,yes,USA
"
              To assess training programs for professional musicians within the context of major performing arts organisations - U.K., USA, Germany
",2006,"HEARD, Bernadette",Germany,yes,Germany
"
              To study vinegar manufacture from foods currently in over supply in Australia (apples, pears, citrus, sugar, wine grapes) as a means of finding alternative markets and uses for this produce - Austria, Italy, Spain, France
",2006,"HENDERSON, Ian",Austria,yes,Austria
"
              To study vinegar manufacture from foods currently in over supply in Australia (apples, pears, citrus, sugar, wine grapes) as a means of finding alternative markets and uses for this produce - Austria, Italy, Spain, France
",2006,"HENDERSON, Ian",Italy,yes,Italy
"
              To study vinegar manufacture from foods currently in over supply in Australia (apples, pears, citrus, sugar, wine grapes) as a means of finding alternative markets and uses for this produce - Austria, Italy, Spain, France
",2006,"HENDERSON, Ian",Spain,yes,Spain
"
              To study vinegar manufacture from foods currently in over supply in Australia (apples, pears, citrus, sugar, wine grapes) as a means of finding alternative markets and uses for this produce - Austria, Italy, Spain, France
",2006,"HENDERSON, Ian",France,yes,France
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",USA,yes,USA
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Canada,yes,Canada
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Iceland,yes,Iceland
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Denmark,yes,Denmark
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Norway,yes,Norway
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Czech Republic,yes,Czech Republic
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Spain,yes,Spain
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",Germany,yes,Germany
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",UK,yes,UK
"
              To study architectural glass installation, design and developments - USA, Canada, Iceland, Denmark, Norway, Czech Republic, Spain, Germany, U.K., New Zealand
",2006,"HEWSON, Mark",New Zealand,yes,New Zealand
"
              To investigate innovative strategies for improving legal services to people experiencing homelessness and at risk of homelessness - South Africa, USA, U.K., Switzerland
",2006,"HILTON, Kristen",South Africa,yes,South Africa
"
              To investigate innovative strategies for improving legal services to people experiencing homelessness and at risk of homelessness - South Africa, USA, U.K., Switzerland
",2006,"HILTON, Kristen",USA,yes,USA
