"","project","year","fellow"
"1030","
              The Vincent Fairfax Churchill Fellowship to gain practical experience in the application of Restorative Therapies for people living with dementia - Greece, Canada, USA
            ","2009","KELLY, Anne"
"1031","
              To study the development, provision and evaluation of re-entry services for prisoners - USA, Israel
            ","2009","KRASZLAN, Katalin"
"1032","
              The Northern Districts (Sydney) Education Centre Churchill Fellowship to study the teaching of history to primary school students - Canada, UK
            ","2009","LAWLESS, Jennifer"
"1033","
              The Churchill Fellows' Association of South Australia Churchill Fellowship to investigate large scale pollination services which have developed since Varroa Mite incursion - USA, Switzerland, Germany, France, UK
            ","2009","LONG, William"
"1034","
              To explore sustainable structures and processes in Indigenous representative organisations - USA, Canada
            ","2009","MADDISON, Sarah"
"1035","
              The A.V. Jennings Churchill Fellowship to study passive design methods which can accommodate severe climate patterns while providing solutions for human comfort - Japan, China, Philippines
            ","2009","MARRA, Carol"
"1036","
              To explore methods for presenting and interpreting cultures and history in order to inspire and enrich the understanding of museum visitors - Finland, France, Germany, UK, USA, Canada
            ","2009","MARTIN, Caroline"
"1037","
              To compare regulatory and planning models which reduce crime in the night time economy - Canada, USA, UK, France, Netherlands, Germany
            ","2009","MATTHEWS, Suzanne"
"1038","
              To investigate treatment technologies to reduce the risks of reusing urban stormwater - USA, Canada
            ","2009","McCARTHY, David"
"1039","
              The John Swire & Sons Churchill Fellowship to study managing and developing sustainable aerial application in an environmentally sensitive world - USA
            ","2009","McDONALD, Mark"
"1040","
              To investigate how regional economies can sustainably develop an innovative culture of entrepreneurship and venture investing - USA
            ","2009","McKENNA, Conor"
"1041","
              To research 'painting with light' techniques to tell stories and connect communities - USA, Italy, Germany
            ","2009","McKEY, Andrea"
"1042","
              To study the use of and support for Indigenous kinship networks to provide safety for children at risk of harm - Canada
            ","2009","McMAHON, Helen"
"1043","
              To develop pharmacist roles in blood conservation through the study of multidisciplinary patient blood management programs - USA
            ","2009","McMORROW, Julie"
"1044","
              To study multidisciplinary services for refugee children experiencing mental health and behavioural issues as a result of trauma - Tanzania, Kenya, Uganda, Sweden, Canada, USA
            ","2009","MITCHELL, Joseph "
"1045","
              To study advocacy and legal representation for children and young people in the child protection system - UK, USA
            ","2009","MOYNIHAN, Catherine"
"1046","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to study models of lifelong care for people with traumatic brain injury - U.K., USA, Canada, New Zealand
            ","2009","MUENCHBERGER, Heidi"
"1047","
              To assess the impact of compulsory registration and accreditation systems of support staff on disability service provision - U.K., Norway, Canada, USA
            ","2009","MURRAY, Samuel"
"1048","
              To investigate key issues faced by highly exploited crustacean fisheries in relation to climate change - USA, Mexico, Cuba
            ","2009","NAGEON DE LESTANG, Simon"
"1049","
              To investigate approaches by legal organisations and courts in balancing the privacy interests of legal system participants with open access to court information on the internet - USA, Canada, UK
            ","2009","O'BRIEN, Megan"
"1050","
              To explore the management of sleep problems for children/adolescents with additional needs - UK, Canada, USA
            ","2009","O'CONNELL (Fisher), Annie"
"1051","
              The Peter Mitchell Churchill Fellowship to study the repair and maintenance of functional and tuning mechanisms of the harp - Italy
            ","2009","O'SHEA, Lucy"
"1052","
              The Samuel and Eileen Gluyas Churchill Fellowship to investigate the role of perennial crops and managed grazing for carbon sequestration in grazing land - USA, Argentina, UK
            ","2009","O'SULLIVAN, Damien"
"1053","
              To identify lost portraits of Australians killed in the First World War - UK
            ","2009","PAGE-ALLEN, Courtney"
"1054","
              The Blakeney Millar Churchill Fellowship to study the provision of accessible, relevant information enabling people with disabilities to make informed travel choices - USA, Canada, Sweden, UK, China
            ","2009","PALMER, Diana"
"1055","
              To investigate practices surrounding forensic examination of crime scenes for offences against animals - USA
            ","2009","PECIC, Michael"
"1056","
              To investigate the sustainability of local history and its volunteers in the community - USA, UK
            ","2009","PRINSLEY, Kate"
